edge_type_id target_query source_query delay weight_function dynamics_params model_template syn_weight
100 node_type_id=='475585413' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.89111328125
101 node_type_id=='482649712' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 1.2353515625
102 node_type_id=='482654108' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 1.9189453125
103 node_type_id=='484509440' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 0.2978515625
104 node_type_id=='486262299' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 2.14752197265625
105 node_type_id=='486753754' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 0.44830322265625
106 node_type_id=='489751692' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 0.3173828125
107 node_type_id=='490376252' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 0.20751953125
108 node_type_id=='505512874' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 0.5645751953125
109 node_type_id=='513510227' * 1.0 weight_function_bkg exc_to_e23.json static_synapse 0.679931640625
110 node_type_id=='501736631' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 2.98828125
111 node_type_id=='514767977' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.4541015625
112 node_type_id=='522418855' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.6494140625
113 node_type_id=='523478869' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 2.255859375
114 node_type_id=='524689239' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 1.474609375
115 node_type_id=='524693113' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.2001953125
116 node_type_id=='524876305' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.91796875
117 node_type_id=='560814288' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.185546875
118 node_type_id=='562539062' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 0.4150390625
119 node_type_id=='575920560' * 1.0 weight_function_bkg exc_to_vip.json static_synapse 1.25
120 node_type_id=='341016267' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 1.81640625
121 node_type_id=='341442651' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 2.6708984375
122 node_type_id=='469614747' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 2.314453125
123 node_type_id=='477490421' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 3.203125
124 node_type_id=='479298854' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 4.4580078125
125 node_type_id=='481018305' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 2.8076171875
126 node_type_id=='482444444' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 2.59765625
127 node_type_id=='484635029' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 3.974609375
128 node_type_id=='485184849' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 2.67578125
129 node_type_id=='485245025' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 2.08984375
130 node_type_id=='488501071' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 2.34375
131 node_type_id=='574992320' * 1.0 weight_function_bkg exc_to_pv.json static_synapse 1.51611328125
132 node_type_id=='313862274' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 1.1767578125
133 node_type_id=='324493977' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 1.1505126953125
134 node_type_id=='476686112' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 0.721435546875
135 node_type_id=='485466109' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 1.36474609375
136 node_type_id=='488677994' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 1.4697265625
137 node_type_id=='491026389' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 1.49658203125
138 node_type_id=='623960880' * 1.0 weight_function_bkg exc_to_sst.json static_synapse 0.6103515625
139 node_type_id=='354833767' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.533203125
140 node_type_id=='369697038' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.5322265625
141 node_type_id=='386049446' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.224609375
142 node_type_id=='397354239' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.2392578125
143 node_type_id=='465924786' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.5029296875
144 node_type_id=='469704261' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 1.7333984375
145 node_type_id=='469734859' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.83740234375
146 node_type_id=='475838754' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.83984375
147 node_type_id=='478439166' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.673828125
148 node_type_id=='489754156' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.6884765625
149 node_type_id=='502260112' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.6787109375
150 node_type_id=='505808144' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.458984375
151 node_type_id=='517977609' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.09765625
152 node_type_id=='322723785' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.55908203125
153 node_type_id=='322761772' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.152587890625
154 node_type_id=='324065524' * 1.0 weight_function_bkg exc_to_e4.json static_synapse 0.09033203125
